Human Timestamp,Unix Time,Microseconds,Geoid Height (m)
Wed Apr 07 17:49:08 CST 2021,1617788948,514999,-2.3150659
Wed Apr 07 17:49:10 CST 2021,1617788950,525004,-2.3150659
Wed Apr 07 17:49:12 CST 2021,1617788952,525015,-2.3150659
Wed Apr 07 17:49:14 CST 2021,1617788954,534999,-2.3150659
Wed Apr 07 17:49:16 CST 2021,1617788956,535001,-2.3150659
Wed Apr 07 17:49:18 CST 2021,1617788958,535009,-2.3150659
Wed Apr 07 17:49:20 CST 2021,1617788960,565064,-2.3150659
Wed Apr 07 17:49:22 CST 2021,1617788962,565074,-2.3150659
Wed Apr 07 17:49:24 CST 2021,1617788964,565134,-2.3150659
Wed Apr 07 17:49:26 CST 2021,1617788966,575127,-2.3150659
Wed Apr 07 17:49:28 CST 2021,1617788968,575152,-2.3150659
Wed Apr 07 17:49:30 CST 2021,1617788970,585184,-2.3150659
Wed Apr 07 17:49:32 CST 2021,1617788972,585208,-2.3150659
Wed Apr 07 17:49:34 CST 2021,1617788974,585236,-2.3150659
Wed Apr 07 17:49:36 CST 2021,1617788976,585260,-2.3150659
Wed Apr 07 17:49:38 CST 2021,1617788978,585013,-2.3150659
Wed Apr 07 17:49:40 CST 2021,1617788980,585041,-2.3150384
Wed Apr 07 17:49:42 CST 2021,1617788982,584999,-2.3150384
Wed Apr 07 17:49:44 CST 2021,1617788984,584999,-2.3150384
Wed Apr 07 17:49:46 CST 2021,1617788986,584999,-2.3150384
Wed Apr 07 17:49:48 CST 2021,1617788988,584999,-2.3150384
Wed Apr 07 17:49:50 CST 2021,1617788990,634999,-2.3150384
Wed Apr 07 17:49:52 CST 2021,1617788992,674999,-2.3150384
Wed Apr 07 17:49:54 CST 2021,1617788994,714999,-2.3150384
Wed Apr 07 17:49:56 CST 2021,1617788996,714999,-2.3150384
Wed Apr 07 17:49:58 CST 2021,1617788998,714999,-2.3150384
Wed Apr 07 17:50:00 CST 2021,1617789000,725000,-2.3150384
Wed Apr 07 17:50:02 CST 2021,1617789002,725006,-2.3150384
Wed Apr 07 17:50:04 CST 2021,1617789004,745000,-2.3150384
Wed Apr 07 17:50:06 CST 2021,1617789006,775007,-2.315011
Wed Apr 07 17:50:08 CST 2021,1617789008,804999,-2.3149433
Wed Apr 07 17:50:10 CST 2021,1617789010,805009,-2.3148754
Wed Apr 07 17:50:12 CST 2021,1617789012,805055,-2.3147936
Wed Apr 07 17:50:14 CST 2021,1617789014,805079,-2.3146982
Wed Apr 07 17:50:16 CST 2021,1617789016,805114,-2.3146164
Wed Apr 07 17:50:18 CST 2021,1617789018,835179,-2.3145213
Wed Apr 07 17:50:20 CST 2021,1617789020,885260,-2.3144393
Wed Apr 07 17:50:22 CST 2021,1617789022,925015,-2.3143573
Wed Apr 07 17:50:24 CST 2021,1617789024,924999,-2.3142886
Wed Apr 07 17:50:26 CST 2021,1617789026,924999,-2.314234
Wed Apr 07 17:50:28 CST 2021,1617789028,925001,-2.3141785
Wed Apr 07 17:50:30 CST 2021,1617789030,925000,-2.3141503
Wed Apr 07 17:50:32 CST 2021,1617789032,925003,-2.3141222
Wed Apr 07 17:50:34 CST 2021,1617789034,924999,-2.3141344
Wed Apr 07 17:50:36 CST 2021,1617789036,934999,-2.3141468
Wed Apr 07 17:50:38 CST 2021,1617789038,934999,-2.3142004
Wed Apr 07 17:50:40 CST 2021,1617789040,934999,-2.3142815
Wed Apr 07 17:50:42 CST 2021,1617789042,945001,-2.31439
Wed Apr 07 17:50:44 CST 2021,1617789044,944999,-2.3144586
Wed Apr 07 17:50:46 CST 2021,1617789046,944999,-2.3145273
Wed Apr 07 17:50:48 CST 2021,1617789048,945000,-2.3145828
Wed Apr 07 17:50:50 CST 2021,1617789050,974999,-2.3146243
Wed Apr 07 17:50:52 CST 2021,1617789052,994999,-2.314693
Wed Apr 07 17:50:55 CST 2021,1617789055,45000,-2.314776
Wed Apr 07 17:50:57 CST 2021,1617789057,75030,-2.3148315
Wed Apr 07 17:50:59 CST 2021,1617789059,75050,-2.3149002
Wed Apr 07 17:51:01 CST 2021,1617789061,75078,-2.3149962
Wed Apr 07 17:51:03 CST 2021,1617789063,75122,-2.3150244
Wed Apr 07 17:51:05 CST 2021,1617789065,75144,-2.315079
Wed Apr 07 17:51:07 CST 2021,1617789067,95197,-2.3150659
Wed Apr 07 17:51:09 CST 2021,1617789069,95230,-2.3150659
Wed Apr 07 17:51:11 CST 2021,1617789071,95260,-2.3150659
Wed Apr 07 17:51:13 CST 2021,1617789073,95022,-2.3150659
Wed Apr 07 17:51:15 CST 2021,1617789075,134999,-2.3150659
Wed Apr 07 17:51:17 CST 2021,1617789077,134999,-2.3150659
