Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active
Sat Apr 10 16:55:38 CST 2021,1618044938,358000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,358000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:40 CST 2021,1618044940,387000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:41 CST 2021,1618044941,398000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:42 CST 2021,1618044942,419000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:43 CST 2021,1618044943,443000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:44 CST 2021,1618044944,459000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:45 CST 2021,1618044945,478000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:46 CST 2021,1618044946,501000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:47 CST 2021,1618044947,529000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:48 CST 2021,1618044948,541000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:49 CST 2021,1618044949,578000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:50 CST 2021,1618044950,593000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:51 CST 2021,1618044951,609000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:52 CST 2021,1618044952,621000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:53 CST 2021,1618044953,655000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:54 CST 2021,1618044954,683000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:55 CST 2021,1618044955,710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:56 CST 2021,1618044956,718000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:57 CST 2021,1618044957,730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:58 CST 2021,1618044958,770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:59 CST 2021,1618044959,790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:00 CST 2021,1618044960,810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:01 CST 2021,1618044961,830000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:02 CST 2021,1618044962,850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:03 CST 2021,1618044963,874000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:04 CST 2021,1618044964,891000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
